transaction_amount,hour_of_day,is_weekend,num_items,customer_age,prev_transactions,distance_from_home,device_type,network_quality,is_first_transaction,store_type,velocity_score,is_fraud
132.7701915,2,0,3,44.17956311,0,3.913939101,0,100,0,0,5.577056378,0
194.8883508,,0,2,21.88514278,6,43.04343422,0,48.22243688,0,1,-0.873099784,0
1,2,0,3,61.95717203,15,0.907507126,2,71.82744999,1,0,8.022587488,0
94.77753907,2,0,2,,0,33.86398267,,69.31594785,0,1,8.672301782,0
,1,0,2,29.1939709,1,19.54392806,0,80.79791431,0,0,4.461974347,0
,3,0,1,28.06442527,6,10.65440895,0,52.06954654,0,1,5.755369552,0
105.478579,2,0,1,45.50533593,3,10.29612566,0,55.5552323,,0,,1
116.7529015,3,0,3,25.84986903,1,12.117106,0,100,0,0,4.95003125,0
83.98074703,2,0,4,66.29583439,5,8.458986763,1,63.32874385,0,0,5.95423744,1
101.6203507,,0,2,27.35440424,0,,2,74.5164958,0,1,4.186909392,0
94.99229618,2,0,4,,0,1.505811011,0,93.22011173,0,0,,0
63.48166841,2,0,2,53.86817691,1,29.09042237,1,41.55449388,0,0,5.079875168,0
67.40819461,2,0,4,37.53942579,15,14.0342612,2,72.18489986,0,1,6.260640954,0
142.6216667,2,0,4,32.68582541,,4.110236023,0,77.47924135,0,0,8.027909639,1
104.3736877,2,0,1,41.19348893,0,10.54045305,2,85.89447304,0,0,2.641684122,0
68.33843016,3,0,2,29.553021,4,106.5190883,0,80.42501077,0,1,3.851633923,1
33.95608223,3,0,0,46.58638117,2,4.768059689,1,80.80548426,1,0,7.967123303,0
93.81355269,2,0,1,37.62940363,1,27.03983542,0,71.20101345,0,0,6.109868706,0
162.6141831,,0,3,18.83226269,22,68.46990063,2,81.42687707,0,0,5.283635392,0
174.7469114,2,0,1,43.88611991,1,25.46341404,0,67.92080251,0,0,3.378177084,0
76.30803265,3,0,4,,1,,0,64.514274,0,0,5.38280873,0
39.51526286,3,1,2,,0,1.458738509,2,92.59919423,0,1,4.137738247,0
151.3493132,2,0,4,32.20196449,6,,0,,1,1,6.049487653,0
128.2754823,,0,4,18,1,82.82694482,2,23.90907336,0,0,5.484368867,1
122.5247862,2,0,,25.04572581,0,,2,83.66827024,0,0,5.370903363,0
122.6033919,2,0,4,18.92763802,13,31.9578098,0,100,0,0,4.220763272,0
38.04464622,2,0,2,,1,27.46282772,0,87.98376428,0,1,8.556496078,1
127.5942986,3,0,2,29.99820236,0,25.13989047,0,91.89008614,0,1,2.737438534,1
173.2088619,1,0,3,48.61017512,10,2.172739994,1,72.99009883,0,1,3.945386393,0
66.21459604,1,1,1,40.6662667,0,4.01833427,0,59.08587178,0,1,0.462516775,1
122.8640202,3,1,1,40.37970287,1,24.63974754,0,,,1,9.222639371,0
88.2363045,2,0,1,51.60887825,4,,1,81.75851568,0,0,4.632532955,0
170.5229573,1,,2,43.47827672,17,0.238222472,1,80.65227561,0,1,,0
73.47494262,2,0,4,37.75028057,2,13.36930566,0,95.95038688,0,0,5.173728981,1
1,1,0,4,47.21346215,10,10.14096512,0,93.09409464,0,1,5.367636671,0
25.0409399,3,0,5,,,11.8402128,0,63.57059025,0,0,6.023261031,0
148.4784513,2,0,3,47.59223855,0,1.990863359,1,66.53848183,0,0,6.123329712,0
151.1765322,3,0,3,79.0010449,0,16.28894764,1,74.94240876,0,0,,0
94.83891235,3,1,5,,6,10.51201259,1,60.16646007,0,0,6.687434011,0
121.6108345,3,,5,44.10033532,0,32.6076804,1,83.66656196,0,0,4.831143703,0
78.65979025,2,0,3,50.73550068,2,,1,49.33461852,0,1,4.153144793,0
138.0423327,1,0,5,23.7281986,6,13.5648748,0,83.93060648,0,0,5.810604975,0
1,2,0,2,29.57853096,1,52.16357002,0,49.36239726,0,0,4.339894971,1
129.9551666,3,0,1,34.82584682,0,8.238126581,1,57.31261268,0,1,6.089531176,0
34.143404,2,0,3,33.48607436,6,19.50026516,0,74.4674076,0,0,4.293738923,0
95.58185204,3,,4,56.68425318,6,33.37158128,0,61.88024896,0,0,0.020002704,1
174.2058014,2,0,1,64.41459685,1,55.66736568,1,72.55282674,0,0,,0
49.91899951,2,0,5,18,1,20.97213324,0,87.95132901,,1,,1
96.96695931,3,0,3,,10,9.124338163,0,41.4850688,0,0,,0
226.4963875,3,0,3,18,3,35.0138053,1,,0,0,1.070442552,0
112.037659,2,0,6,35.59616374,0,3.04883797,0,100,0,0,6.710237528,0
108.8220778,2,0,4,,3,105.1247814,0,52.10518684,0,0,,0
109.9340005,3,0,3,43.1914628,,6.223067502,2,93.6157488,0,0,,0
48.23788388,2,0,1,31.78992259,14,44.57613171,1,56.50236509,0,1,6.75851579,0
185.1107472,2,0,1,,5,,1,39.93930932,0,0,4.547067055,0
168.4039675,2,0,4,26.73416482,3,5.913296778,0,57.17079286,0,0,,0
75.55569405,2,1,5,,4,12.99186351,0,68.00855569,0,0,8.116769001,0
30.99492709,3,0,1,37.56444432,3,22.66376178,0,87.98996798,0,0,5.726750523,0
69.94367237,2,0,2,30.51966689,4,9.796972364,2,49.67881923,0,1,4.069589673,0
100.4391827,3,0,3,51.09934603,0,18.87451034,0,100,,0,5.178896084,0
1,3,0,6,43.02015457,0,0.522259297,0,62.97430688,0,0,7.284724703,0
48.40168581,2,1,2,36.22465567,2,0.236796627,,80.29796107,0,1,2.246550938,0
131.2754008,3,1,2,39.66185775,4,85.21743442,1,,0,0,4.96522139,0
,2,0,2,,1,1.867312285,0,57.26973172,0,1,7.178379049,0
128.1484618,2,1,2,32.35735429,4,13.10263315,,62.18754248,0,1,3.842767843,0
21.18039215,1,0,3,46.74937082,5,21.27495116,1,34.92888634,0,0,1.306620703,0
42.33337984,3,0,3,30.92371365,15,6.517540166,0,62.86363975,0,1,3.235399938,0
211.5749456,2,1,1,60.97475651,4,1.27666413,1,80.98052863,0,1,2.265350453,1
,2,0,6,46.29830625,3,5.915348074,1,59.36271129,0,1,6.804643308,0
108.6127193,2,0,1,23.82545384,8,11.99489387,1,75.1253562,,0,6.277383931,1
70.60718475,3,0,5,26.60665298,0,43.01641876,0,42.72230796,0,0,4.899012806,0
50.27857391,2,0,6,36.98545924,1,25.71481783,0,69.53622896,0,0,6.758460867,0
143.8086966,2,0,,24.74099515,4,44.1445213,2,100,0,0,3.213450684,0
136.7318773,3,0,2,40.42074092,8,8.559257142,1,63.36035742,0,1,7.461589925,0
92.07311538,3,0,5,29.11791186,6,33.96064307,0,100,1,0,,0
168.3437134,3,0,5,18,8,9.389246281,1,61.79792316,0,0,4.164571263,0
106.697919,2,0,2,,4,3.360111344,1,100,0,0,6.611120363,1
,2,0,3,46.8197818,1,2.345133177,1,41.98146233,0,1,3.450334922,1
88.6760554,2,0,2,53.77554284,11,16.36516215,1,80.24364223,0,0,6.403195117,0
189.9362509,3,0,3,47.86424698,2,2.267646637,1,78.24334296,0,0,4.783677573,0
115.402527,2,0,2,29.7512376,4,6.848594166,0,75.76078409,0,0,5.918112719,0
120.8400787,3,0,7,59.79816972,0,1.584338627,1,59.10790599,0,0,,0
158.295826,2,0,2,58.14856106,2,35.41572803,0,81.38504192,0,0,5.43822964,0
,2,0,2,34.97982118,13,27.75070081,1,71.25005991,0,0,,0
113.4025214,2,0,3,18,4,31.46479571,1,78.81589392,0,1,5.089034831,1
159.0945021,3,0,4,29.23136296,5,10.48179162,0,63.69576945,0,0,5.884212367,0
194.609588,3,0,,21.82424609,6,31.00294405,0,66.05377789,0,,5.760060776,0
97.72438773,2,0,2,56.85999206,0,44.41919912,2,87.92994773,0,0,6.230594675,0
78.52972294,2,1,2,47.75905486,5,,0,55.66924227,0,0,3.865640466,0
119.7289993,2,0,3,18,1,27.11124384,0,55.99704769,0,1,4.152931731,0
124.6988691,2,0,5,35.32212824,10,3.110095117,0,83.22337702,0,0,8.595707625,1
,3,0,1,37.73303117,0,18.81877057,0,,,0,6.891318813,0
91.58704328,2,0,5,18,0,21.44641862,0,93.33077139,0,1,,0
107.2531873,3,0,3,,3,43.621661,0,69.60181712,0,0,5.573288082,0
67.53175902,3,0,2,18,5,6.063919297,0,84.64761355,0,0,3.744865186,0
98.44705336,1,0,3,48.51636259,2,42.94002133,0,100,0,0,5.815535144,0
93.75565573,2,0,0,41.53838263,9,20.2312172,1,97.8453621,0,0,7.856881122,0
95.04528499,2,0,5,25.28541802,1,26.58924493,0,100,0,0,6.111663112,0
39.52615323,3,0,3,18,5,46.93198714,1,78.59287501,0,1,3.690605511,0
,2,0,2,,3,9.89741133,0,66.78398563,0,0,3.744557198,0
181.1942496,1,0,4,18,1,2.562801144,1,83.72133484,0,0,,1
109.742117,,0,4,28.76621487,6,5.927151214,0,,0,0,,0
111.2108202,2,1,3,,15,4.328423839,0,67.19863358,0,1,7.11525898,0
83.14570144,2,0,3,36.27248638,0,36.31240834,,50.3913114,1,0,3.067004004,0
69.7546618,2,0,3,46.54018415,8,62.54472888,0,68.93315652,0,0,1.42310833,1
,2,0,2,40.04260891,5,,0,54.01389223,0,0,4.431188968,0
98.68696034,2,0,5,40.0454977,0,31.71183739,0,65.78128101,0,0,6.202328532,0
127.7802233,3,0,2,18,4,62.27870355,0,,0,1,4.149432928,1
86.44381995,3,0,3,23.12195253,9,19.3860359,2,86.06339175,0,0,6.443977154,0
135.7000247,2,0,1,41.50685238,3,,1,74.31352287,1,1,3.57986471,0
62.54141367,,0,2,39.69949985,6,11.41452572,0,80.21710814,0,0,4.969292017,0
89.01652738,3,0,2,39.96243448,16,9.384095133,0,79.43827478,0,1,,0
114.2377297,3,1,2,37.512693,10,10.73337939,1,69.21879847,0,0,7.928411813,0
40.17210357,1,0,4,,7,8.083615803,0,80.58268411,0,0,9.253746793,0
88.54594845,1,0,6,44.65848042,0,3.001499928,2,70.15894679,0,1,3.857906203,0
118.667428,3,0,5,18,3,5.136079597,0,100,0,0,,0
114.3477927,2,0,3,26.00765556,2,2.444621908,1,88.47597814,0,0,5.672697888,1
160.1942219,3,0,4,18,17,21.83075342,0,81.41372842,1,,5.474409131,0
72.44071418,3,1,,32.86441396,0,10.10539486,0,70.95451083,0,0,,0
67.41998262,2,0,3,,1,46.93165108,1,98.80406882,0,0,8.738258244,0
80.77715605,1,0,3,31.02616628,0,33.45501022,1,76.96003207,0,,6.482036753,0
151.2031263,2,0,,18,9,43.1787518,0,77.05452478,0,0,3.918970099,0
25.13711774,2,0,4,18,2,22.3087742,0,74.33891603,0,0,8.031830254,0
,3,0,3,,,,2,85.41657396,0,1,7.319941727,0
215.3958125,1,0,7,,6,13.8500891,2,100,0,0,2.751983394,0
,,0,4,,0,,2,33.1314564,0,1,7.81045656,0
,1,0,2,37.76270791,1,,0,,0,0,,0
229.4781821,3,1,6,18,11,0.240875359,1,44.52261414,0,0,6.666011789,0
1,2,0,5,18,,54.73048901,2,64.08652918,0,0,8.08672826,1
147.8996971,2,0,5,44.0044547,5,40.74655614,1,96.76323495,0,0,6.788822406,0
133.9686641,3,0,4,35.8130582,6,19.15273835,2,43.43414667,0,0,,0
45.22403056,3,0,1,33.02095504,10,19.20304744,1,51.26774376,0,0,3.953620922,0
70.99918337,3,0,4,40.30719307,8,19.40069177,0,66.44743331,0,0,5.866578887,0
106.2087842,3,1,4,18,18,22.41594892,0,56.36538724,1,1,0.543421038,0
135.7304895,1,0,4,53.41383095,3,49.30365035,1,66.19708502,0,1,3.222695349,0
49.20890905,2,0,1,22.31150738,10,6.199044026,0,97.13100649,0,0,5.557966709,0
,2,0,2,18,4,28.32783136,0,66.6133519,0,0,3.600261207,0
172.4249615,2,0,3,50.17480505,5,6.324553194,0,43.61224108,0,0,,0
,3,1,2,61.99785235,1,23.5096832,0,73.65743629,0,0,7.051980754,0
79.4592856,2,0,3,18,,1.188139692,0,81.76839495,0,1,1.621727338,0
219.6054818,1,0,5,25.92339657,3,,0,,1,0,,0
113.4296791,1,,,60.4408663,2,6.664317846,0,72.15485772,0,0,3.881262767,0
9.101038731,2,0,4,20.02651857,0,63.90055785,2,48.45771015,0,0,8.176529784,1
49.11178455,3,0,2,18,2,67.83525283,0,33.984607,0,1,,0
88.15906966,2,0,2,28.99916521,1,32.18031477,1,79.34220046,0,1,3.317928675,0
140.4018095,2,0,4,,9,3.900444947,0,75.97008379,0,0,2.222485542,0
110.8341559,1,1,3,18,6,,0,62.89870311,0,0,3.709914288,0
121.2921829,2,0,1,33.82070903,2,96.4644203,1,76.65308428,0,0,6.241895077,0
132.3244769,2,0,0,44.37103609,4,13.02584695,1,78.10286949,0,0,2.022067066,0
44.47120773,2,0,2,,1,36.80582974,1,,0,1,7.299611763,0
75.04305243,3,0,2,35.29116461,,7.57600072,2,86.36978226,0,0,7.002435253,0
105.3584958,3,0,4,,2,18.05726757,0,83.49578189,0,0,5.378574021,0
58.39693476,3,0,2,23.33534206,8,63.43190794,0,52.12869776,0,1,-0.601876346,0
184.9717992,3,0,5,30.27002176,2,,2,94.99226969,0,1,5.543792611,0
126.914804,3,0,3,22.35716303,1,0.753166211,2,88.63924099,0,0,0.930464366,0
45.41874139,2,0,5,45.1525584,7,33.47460294,0,68.7749525,0,1,7.573469212,0
70.03036773,2,0,1,56.07595451,6,52.80596547,0,69.82470081,0,0,,0
32.7492758,1,,4,37.49285107,2,16.47564538,0,89.99892153,0,0,4.33675416,0
,,0,6,,7,10.15870799,2,84.36005474,0,0,,0
149.0882743,3,0,2,41.63539261,13,13.90880668,2,76.02724655,0,1,5.280095203,0
175.1709914,1,0,3,,4,19.88198909,0,67.11280144,0,0,,0
132.9824999,2,0,2,49.43484363,2,,2,79.94907917,0,0,,0
99.16948288,3,1,4,,18,8.81044638,0,78.33050936,0,0,5.620848291,0
112.8014867,2,0,4,37.92402366,3,0.97653784,0,73.84247774,0,1,4.702048612,1
,3,0,4,21.73803097,1,,2,45.51456737,0,0,1.495437695,0
62.31319178,2,0,6,31.0342496,2,33.63527025,0,51.84580881,0,0,3.875316234,0
,2,0,2,37.30776291,0,41.19338957,0,100,0,0,7.731514898,0
124.4687281,3,0,3,40.24451387,,34.11725274,0,89.30115004,0,0,,0
68.75907112,3,0,5,34.47172392,5,25.09715211,0,96.66915273,0,0,5.769425271,0
133.6430618,1,0,3,59.0960569,0,,2,59.0646539,0,0,7.139559603,0
85.96624616,,0,2,,1,18.30378143,2,96.44939236,1,0,5.657422567,0
191.5729383,3,,3,52.19500588,2,16.53649939,0,51.80181155,0,0,4.747144305,0
106.4052207,3,0,2,29.59896122,2,14.08962055,0,67.95471515,0,0,0.967486722,0
81.07101284,3,0,,45.79036735,2,6.970928782,0,66.99858129,0,0,,0
126.7182449,3,0,4,18,2,7.62600261,0,56.98551569,1,0,,1
1,3,0,1,,0,17.96472347,1,91.38464032,0,0,1.67753403,0
167.5557045,2,0,4,53.58321598,1,4.943805293,0,91.61986593,0,0,5.957792409,0
,1,0,4,43.88789718,0,0.503820489,2,95.88633593,0,1,5.466767784,0
156.2466273,2,0,4,19.55656232,8,34.23823513,1,65.21964551,0,0,4.925848037,0
99.45664315,1,0,3,44.02225369,11,0.717191846,0,100,1,0,8.041497553,0
204.896967,2,0,1,18,0,8.668825571,2,61.53249622,0,0,7.169183513,0
236.0084583,2,0,2,39.1760669,0,33.66842751,,,0,0,6.284497363,1
187.9310242,2,0,4,43.3000336,10,1.127034763,1,74.78070651,0,0,3.391272873,0
,2,0,1,48.03309713,5,0.969747521,0,81.51631112,0,0,,0
116.2179641,3,0,6,18,,8.741489445,1,63.37641237,0,0,,0
103.3495359,2,0,2,36.97651238,0,32.36972736,1,61.83248903,0,0,2.855954864,1
86.15553221,2,0,2,31.01136085,2,,0,87.80229785,0,0,,0
88.90558644,2,0,3,60.31909234,4,1.465422036,0,,0,0,6.239007447,0
68.81155197,2,0,,33.50998331,7,25.68230819,1,75.0578933,0,0,,0
165.9151162,2,0,1,41.71939824,5,13.80968285,1,100,0,0,7.989659677,0
97.93313976,3,1,3,22.0580856,,27.17450337,0,58.24335857,1,0,2.575590539,0
137.1229457,2,0,1,49.48862007,6,18.68562295,1,74.0087029,0,1,3.750567667,0
,2,0,3,36.46047595,0,14.88590321,1,63.78461988,0,0,1.416751421,0
70.2169353,3,0,2,,1,12.23740689,0,84.30239898,0,0,9.536602827,0
87.7305942,3,0,5,74.28093231,0,11.15653583,1,59.10693868,0,1,3.588010695,0
67.82408848,3,0,5,41.19252336,6,,2,81.13711091,0,0,,0
147.8652411,3,0,3,30.83756563,3,10.56505472,1,60.54371626,0,1,4.179030841,0
35.97853238,1,0,4,25.84999435,,,0,100,0,1,3.949620704,0
81.65877941,3,0,2,,17,4.664347927,0,91.30312278,0,0,3.501439249,1
45.48957966,3,0,,52.06869691,2,5.556709236,2,,0,1,4.114131714,0
30.60657248,3,0,3,30.83513291,0,18.2020963,0,80.30800358,1,0,5.915710103,0
101.5745781,3,0,6,34.62562122,10,34.14352119,1,62.88307292,0,0,2.179603734,1
5.999498305,2,0,2,57.87306457,1,26.63001539,1,37.26108259,0,1,4.951095698,0
191.9091838,3,1,,28.95958953,2,56.01692022,0,58.73904873,0,0,6.395998637,0
66.52815432,3,0,6,43.06597986,11,11.61856951,0,77.96269597,,0,6.781858947,0
103.704739,3,1,4,46.57293265,1,32.53345697,1,94.55529301,1,1,6.62787105,1
36.49694556,2,0,0,18,16,6.907398559,0,80.40749548,0,0,6.555557067,0
131.1355612,2,0,3,45.70601909,10,6.613663439,0,87.5306846,0,0,5.730541827,0
97.48809453,2,0,3,46.43990281,5,1.578347884,0,,0,0,3.97177435,0
63.27042116,3,0,6,,1,26.14897673,0,,0,,4.061366807,0
185.9688953,2,1,6,30.06016341,11,27.94299642,0,62.28109452,1,0,5.489343258,0
106.2950694,3,0,1,53.64054307,10,4.142682755,1,72.55460796,0,0,0.804982523,0
86.72197437,3,0,1,37.20681261,13,6.025754834,1,59.67037641,0,1,4.854892696,0
78.01344709,,0,1,64.63004358,10,41.66807914,1,63.22747743,0,0,4.522177807,0
,1,0,3,39.37010823,6,19.98743969,2,,1,0,,0
143.438625,3,0,3,48.5416032,4,35.69244378,1,52.0629562,0,0,6.840264865,0
164.6372645,2,0,6,,3,27.06510118,0,,1,0,2.658262199,0
114.4346815,,0,2,18,3,5.20044946,1,81.86037517,0,0,3.795677128,0
109.7192151,3,0,2,64.65392535,6,12.40341871,1,82.40899411,0,0,4.950445761,0
92.55153451,3,0,2,29.32747613,7,21.80329045,2,80.12768517,0,0,4.464523456,0
99.64775073,2,0,6,29.87698504,5,12.28217282,1,92.98982529,1,1,9.031480042,0
96.41993703,3,0,3,32.27493608,3,41.8632916,2,68.0386614,0,1,4.252389295,0
117.0294608,2,0,1,37.63132732,13,12.97437399,0,72.68321368,0,1,6.815003286,0
